,Life expectancy 
2399,56.5
196,73.0
2316,82.5
1735,75.6
1102,53.0
1194,65.2
1507,72.4
1161,74.1
322,77.0
1352,67.8
2185,73.1
211,75.1
2933,44.3
2917,47.9
1748,74.3
2269,74.6
554,78.4
643,77.7
511,79.1
2869,73.3
2156,62.8
1318,82.5
439,54.0
1362,63.4
785,72.0
1488,47.8
1476,52.1
2666,75.1
471,65.6
745,78.4
1750,73.9
1608,76.3
1659,61.2
1814,69.6
1512,72.7
766,57.9
980,74.5
1070,69.4
696,77.0
1610,75.4
479,57.7
1720,67.3
1646,78.5
2379,54.2
543,47.6
1703,68.9
1297,79.4
2369,67.6
318,63.3
966,59.8
1345,71.7
2242,73.2
2374,66.5
2472,58.6
2603,67.7
1673,72.8
2827,69.2
2017,72.8
1967,76.4
410,53.3
1869,72.5
2857,69.0
1881,59.4
51,56.0
1574,54.1
2430,81.9
2537,64.5
423,55.3
2344,73.0
1340,72.4
331,75.5
544,85.0
1467,74.1
871,75.6
2724,53.2
564,75.2
2667,74.9
354,74.7
1939,73.3
1963,77.3
67,75.9
1639,83.0
2476,71.3
1729,63.8
2042,76.8
1797,65.9
1223,74.1
680,79.1
557,77.8
694,77.5
756,62.2
2438,79.5
1541,81.1
368,77.7
1354,65.3
1505,51.9
1222,74.7
2032,67.3
2375,66.2
1919,84.0
2138,69.6
533,51.2
1739,74.6
324,76.9
2924,58.0
2265,75.6
836,57.4
2876,75.7
1559,63.3
203,67.3
2429,82.1
256,71.0
498,81.8
612,62.9
2756,75.3
124,83.0
2524,82.7
2127,72.9
1438,59.8
651,75.2
706,73.0
2874,76.0
2288,72.2
460,71.1
1612,74.3
2479,70.0
811,69.5
978,74.4
2656,69.9
32,75.6
1751,73.6
1709,67.9
2299,54.0
1328,81.5
1917,86.0
1399,74.0
944,79.0
1358,64.4
1039,79.0
1266,82.5
1511,72.8
2210,71.6
1197,64.0
1272,81.5
1588,74.6
2492,56.5
141,78.7
1766,55.3
1845,81.6
2118,67.1
1105,52.1
2758,74.9
1986,59.9
2428,82.0
2805,77.5
2813,76.5
2576,73.5
2357,76.5
1569,57.9
2038,66.8
309,68.7
2258,61.3
2590,74.7
2632,54.6
2793,49.2
175,72.6
296,66.5
1238,77.0
2388,51.2
1678,71.9
2115,67.6
194,71.0
430,51.3
321,77.2
178,76.7
840,55.7
1793,62.8
2346,87.0
1987,59.6
1213,65.3
2779,67.0
2921,43.8
30,73.6
581,73.6
1300,75.6
1470,73.5
594,62.9
1740,74.2
2064,78.5
555,78.0
1593,73.8
1539,81.7
1324,82.0
1093,57.6
162,74.8
387,73.9
436,51.7
1838,79.8
1819,67.5
1126,62.3
1082,56.4
2047,75.3
2419,51.9
73,74.8
1148,72.5
1545,80.0
1288,81.6
63,45.3
1112,66.1
1034,79.4
298,65.0
45,71.6
2332,75.8
2595,73.6
1038,79.1
787,76.0
1630,52.0
80,76.3
2831,68.3
2234,74.4
93,74.1
2367,68.1
2186,72.7
2219,67.1
506,81.0
411,52.4
1974,75.7
2466,61.0
1744,73.5
1913,81.3
1564,69.0
1535,71.4
102,73.3
1643,79.3
532,51.6
1080,57.3
821,73.0
2070,76.6
645,77.0
1137,58.6
251,78.8
239,68.0
1921,79.8
2668,74.9
2687,73.9
1036,79.3
2019,72.1
44,71.7
1294,79.9
2257,62.1
2523,83.0
1978,62.2
1598,73.1
1311,73.0
1209,67.7
1002,79.8
1271,81.7
2824,75.2
1922,79.4
393,72.2
2886,74.0
1231,71.2
2493,55.0
366,71.0
521,46.3
605,59.5
1933,75.2
2496,51.4
478,58.5
2418,52.5
742,79.2
2563,65.5
819,73.3
1736,75.4
1325,82.1
671,76.7
1775,54.0
1265,76.4
1552,78.0
1412,77.0
1013,61.6
765,58.0
1691,76.0
1394,74.7
402,59.0
2633,73.5
1961,77.5
70,75.4
1872,71.0
652,75.4
1063,77.0
56,48.2
1513,72.6
567,74.5
450,72.8
942,79.3
2417,53.1
2737,67.7
791,75.0
527,46.0
2582,71.4
1046,72.9
905,68.7
2128,72.5
2041,77.1
602,60.0
485,55.3
1725,65.0
728,56.3
692,78.0
2121,74.6
2712,63.8
2572,74.3
120,81.3
2844,71.6
1712,66.2
598,61.3
1415,68.8
2292,72.1
833,69.0
233,68.9
1731,62.8
796,74.2
111,72.0
2790,58.0
218,73.9
809,69.8
1237,76.0
2794,79.3
2424,48.9
1590,74.3
677,79.7
1854,79.9
2191,72.1
1421,67.1
1198,63.7
963,68.0
1794,62.5
1754,72.3
2922,67.0
2119,75.0
1980,61.8
2692,72.0
1429,64.4
1091,58.4
29,73.3
1935,74.7
929,77.5
1972,75.7
1338,73.0
2198,79.0
1896,52.7
1192,66.0
188,75.0
170,74.1
463,69.9
43,72.3
87,75.4
861,59.1
1001,79.9
282,56.5
2650,71.1
2755,75.4
420,57.4
2897,63.8
1275,84.0
679,79.3
2351,79.1
992,73.0
2401,54.5
149,71.1
981,74.2
495,51.4
2102,76.0
1361,63.9
2065,77.7
1000,80.0
134,82.0
610,63.9
2688,73.5
743,78.9
1016,66.0
2432,81.3
2282,73.0
2711,64.0
2141,68.2
1644,79.0
2354,78.1
1228,72.0
221,73.5
1808,55.0
1129,62.1
2300,49.7
2093,86.0
173,73.1
2448,72.3
2029,68.0
2328,78.3
1295,80.0
2183,71.6
1244,66.8
1407,73.3
314,65.7
152,73.0
1433,62.6
1563,61.4
272,60.0
270,68.2
1246,66.5
2775,78.2
2255,63.5
849,52.7
1135,59.3
737,86.0
568,74.4
2730,71.3
1232,78.0
2698,66.0
2539,63.6
749,77.3
257,70.0
2052,74.5
139,79.3
2681,75.8
2769,79.6
899,69.7
2538,64.4
254,78.0
572,73.1
1377,51.9
2051,74.7
2521,83.4
168,74.4
2240,73.3
2044,76.3
1964,76.5
918,83.0
291,68.7
792,75.1
433,52.8
2836,67.3
408,55.3
1315,83.5
2308,42.3
135,84.0
2134,77.0
2184,73.2
804,79.0
367,75.0
2557,68.1
1376,51.9
2225,65.1
2368,68.0
2235,74.3
1379,66.1
831,73.0
457,72.1
1060,71.4
701,75.2
859,59.7
2611,63.7
1538,82.0
210,75.2
2180,72.2
1215,66.7
2085,76.3
1968,76.2
365,71.4
414,56.0
1055,79.0
768,57.4
507,80.0
2901,62.2
883,64.2
960,59.8
2937,46.0
407,56.1
1813,69.2
108,72.7
2864,73.6
1224,73.3
486,54.8
2690,72.8
332,75.2
1243,64.7
565,75.0
1907,47.4
2710,63.3
2751,76.2
415,51.0
1393,64.1
2489,58.9
535,49.6
2691,72.4
876,72.8
528,53.1
1496,59.2
951,62.3
432,53.3
199,69.1
1882,58.2
1817,68.4
2871,73.1
289,69.4
246,79.8
2342,73.7
283,56.1
1104,52.5
231,70.0
443,48.2
313,66.2
2548,73.2
800,73.4
96,74.8
1291,81.2
2039,77.5
988,73.9
1413,69.9
2806,77.2
2532,81.0
2050,74.9
1752,73.3
104,73.5
1116,65.0
2403,53.8
2514,88.0
2716,67.0
226,71.7
663,78.1
2076,77.3
1520,71.0
2322,87.0
2390,58.0
464,68.7
1519,71.1
599,61.0
1509,72.9
2791,52.0
2386,51.5
1943,66.2
212,74.9
12,56.7
913,67.7
422,56.2
1323,82.4
2584,71.1
2247,72.8
1770,53.8
2625,55.9
509,79.5
1273,81.0
678,79.5
2187,72.8
2588,75.1
518,48.6
2934,44.5
1029,84.0
1946,65.5
1066,75.0
2143,67.3
864,58.1
1479,51.1
1799,65.8
2849,75.0
358,73.6
2096,79.4
2505,82.4
259,69.4
686,78.4
2343,73.3
2393,62.9
2103,72.1
2358,76.6
844,54.4
1397,74.3
846,53.8
2660,69.4
2275,73.0
456,72.3
462,73.0
2174,74.3
2452,69.1
381,74.8
1784,65.6
964,66.0
1945,65.7
